Id,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,TotalRooms,GarageCars,GarageArea,YrSold,SalePrice
305,87.0,18386.0,2.5Fin,7,9,1880,,Y,1675,1818,3,10,3,870,2008,295000
306,80.0,10386.0,1Story,8,5,2004,2000,Y,2000,0,2,8,3,888,2007,305900
307,116.0,13474.0,2Story,7,5,1990,,Y,1122,1121,2,8,3,746,2007,225000
308,,7920.0,1.5Fin,6,7,1920,319,Y,1035,371,1,6,0,0,2008,89500
309,,12342.0,1Story,4,5,1940,861,Y,861,0,1,4,2,539,2009,82500
310,90.0,12378.0,1Story,9,5,2003,,Y,1944,0,2,8,3,708,2006,360000
311,,7685.0,2Story,6,5,1993,697,Y,697,804,2,6,2,420,2006,165600
312,50.0,8000.0,1Story,6,6,1948,972,Y,972,0,1,5,1,240,2009,132000
313,65.0,7800.0,1.5Fin,5,7,1939,793,Y,793,325,1,5,2,410,2006,119900
314,150.0,215245.0,1Story,7,5,1965,2136,Y,2036,0,2,8,2,513,2009,375000
315,60.0,9600.0,2Story,7,7,1925,,Y,832,809,1,6,2,546,2006,178000
316,71.0,7795.0,2Story,7,5,2004,,Y,716,716,2,6,2,432,2009,188500
317,94.0,13005.0,2Story,7,7,1980,,Y,1153,1200,2,10,2,484,2009,260000
318,75.0,9000.0,2Story,8,5,2006,,Y,1088,871,2,8,3,1025,2007,270000
319,90.0,9900.0,2Story,7,5,1993,1347,Y,1372,1274,2,9,3,656,2009,260000
320,,,SLvl,7,5,1980,1372,Y,1472,0,2,6,2,588,2009,187500
321,111.0,16259.0,2Story,9,5,2006,,Y,1249,1347,3,9,3,840,2006,342643
322,99.0,12099.0,2Story,8,5,2004,1136,Y,1136,1332,2,10,3,872,2007,354000
323,86.0,10380.0,2Story,7,5,1986,,Y,1553,1177,2,8,2,576,2007,301000
324,49.0,5820.0,1Story,3,8,1955,,Y,1163,0,1,6,1,220,2006,126175
325,96.0,11275.0,SLvl,7,7,1967,,Y,1898,1080,2,11,2,564,2010,242000
326,50.0,5000.0,1.5Unf,5,6,1941,,N,803,0,1,5,2,360,2007,87000
327,32.0,10846.0,1Story,8,5,1993,1719,Y,1719,0,1,6,2,473,2008,324000
328,80.0,11600.0,1Story,6,5,1960,,Y,1383,0,1,7,1,292,2006,145250
329,,11888.0,2.5Unf,6,6,1916,,N,1445,689,2,10,2,441,2009,214500
330,60.0,6402.0,2Story,5,5,1920,596,N,596,596,1,6,1,189,2009,78000
331,,,1Story,5,4,1964,,Y,1728,0,2,10,1,352,2007,119000
332,70.0,8176.0,1Story,5,6,1958,,Y,1056,0,1,6,1,308,2007,139000
333,85.0,,1Story,8,5,2003,3206,Y,1629,0,2,7,3,880,2009,284000
334,59.0,8198.0,1Story,7,5,2004,1358,Y,1358,0,2,6,2,484,2008,207000
335,59.0,9042.0,2Story,6,5,1998,943,Y,943,695,2,7,2,472,2008,192000
336,,164660.0,1.5Fin,5,6,1965,1499,Y,1619,167,2,7,2,529,2008,228950
337,86.0,14157.0,1Story,9,5,2005,1922,Y,1922,0,2,8,3,676,2007,377426
338,70.0,9135.0,1Story,7,5,2002,1536,Y,1536,0,2,7,2,532,2008,214000
339,91.0,14145.0,1Story,7,7,1984,1208,Y,1621,0,2,8,2,440,2006,202500
340,66.0,,1Story,6,7,1958,,Y,1215,0,1,6,1,297,2009,155000
341,85.0,14191.0,2Story,8,5,2002,967,Y,993,915,2,9,2,431,2010,202900
342,60.0,8400.0,1Story,4,4,1950,721,Y,841,0,1,4,1,294,2009,82000
343,,8544.0,1Story,3,4,1949,,N,1040,0,2,6,2,400,2006,87500
344,63.0,8849.0,1Story,9,5,2005,1684,Y,1684,0,2,6,2,564,2008,266000
345,36.0,2592.0,2Story,5,3,1976,536,Y,536,576,1,4,1,336,2010,85000
346,65.0,6435.0,1.5Fin,6,5,1939,972,Y,972,605,1,6,1,312,2006,140200
347,,12772.0,1Story,6,8,1960,958,Y,958,0,1,5,1,301,2007,151500
348,,17600.0,1Story,6,5,1960,,Y,1478,0,2,6,2,498,2009,157500
349,36.0,2448.0,2Story,7,5,2003,764,Y,764,862,2,6,2,474,2008,154000
350,56.0,20431.0,2Story,9,5,2005,,Y,1848,880,2,10,3,706,2006,437154
351,68.0,7820.0,1Story,9,5,2007,1869,Y,1869,0,2,6,2,617,2007,318061
352,,5271.0,1Story,7,5,1986,,Y,1453,0,1,6,2,445,2006,190000
353,60.0,9084.0,1.5Fin,5,6,1941,616,N,616,495,1,5,1,200,2008,95000
354,60.0,8520.0,1Story,6,8,1928,624,Y,720,0,1,5,2,484,2010,105900
355,60.0,8400.0,1.5Fin,6,5,1940,940,Y,1192,403,1,6,1,240,2006,140000
356,105.0,11249.0,1Story,6,5,1995,,Y,1200,0,2,6,2,521,2007,177500
357,,9248.0,1Story,6,6,1992,1158,Y,1167,0,2,6,2,400,2009,173000
358,44.0,,1Story,5,5,1976,1142,Y,1142,0,1,6,2,528,2007,134000
359,92.0,6930.0,SLvl,5,4,1958,1062,Y,1352,0,1,6,1,288,2006,130000
360,78.0,12011.0,2Story,8,5,1998,,Y,1086,838,2,7,2,592,2006,280000
361,,7540.0,SFoyer,6,6,1978,888,Y,912,0,1,5,2,470,2007,156000
362,,9144.0,1.5Fin,5,5,1940,,Y,988,517,1,8,1,240,2008,145000
363,64.0,7301.0,SFoyer,7,5,2003,,Y,495,1427,3,7,2,672,2009,198500
364,21.0,1680.0,2Story,6,8,1972,,Y,483,504,1,5,1,264,2009,118000
365,,18800.0,2Story,6,5,1976,796,Y,790,784,2,6,2,566,2006,190000
366,59.0,10690.0,2Story,5,7,1920,,Y,672,672,1,6,1,468,2009,147000
367,,9500.0,1Story,6,5,1963,1394,Y,1394,0,1,6,2,514,2009,159000
368,101.0,9150.0,SLvl,6,5,1962,,Y,1431,0,1,6,1,296,2008,165000
369,78.0,7800.0,1Story,5,6,1954,,Y,1268,0,1,7,1,244,2010,132000
370,,,1Story,5,7,1959,1063,Y,1287,0,1,7,2,576,2010,162000
371,,8121.0,2Story,6,5,2000,953,Y,953,711,2,7,2,460,2006,172400
372,80.0,17120.0,1.5Fin,4,4,1959,0,Y,1120,468,2,7,2,680,2008,134432
373,50.0,7175.0,1Story,6,5,1984,,Y,752,0,1,4,1,264,2010,125000
374,79.0,10634.0,1Story,5,6,1953,608,Y,1319,0,1,5,1,270,2009,123000
375,65.0,8200.0,2Story,7,5,2003,847,Y,847,1081,2,8,2,434,2007,219500
376,,10020.0,1Story,1,1,1922,683,N,904,0,0,4,0,0,2009,61000
377,57.0,8846.0,SFoyer,5,5,1996,870,Y,914,0,1,5,2,576,2006,148000
378,102.0,11143.0,2Story,8,5,2004,,Y,1580,886,3,8,2,610,2007,340000
379,88.0,11394.0,1Story,9,2,2010,1856,Y,1856,0,1,8,3,834,2010,394432
380,60.0,,2Story,6,5,2000,982,Y,1007,793,2,7,2,463,2009,179000
381,50.0,5000.0,1.5Fin,5,6,1924,1026,Y,1026,665,2,6,1,308,2010,127000
382,60.0,7200.0,1Story,7,5,2006,1293,Y,1301,0,2,5,2,572,2006,187750
383,79.0,9245.0,2Story,7,5,2006,939,Y,939,858,2,8,2,639,2007,213500
384,60.0,9000.0,1.5Unf,6,3,1928,784,N,784,0,1,5,2,360,2009,76000
385,,,2Story,6,5,1992,1580,Y,1079,874,2,9,2,501,2007,240000
386,43.0,,1Story,8,5,2004,1256,Y,1269,0,2,6,2,430,2010,192000
387,58.0,8410.0,1.5Fin,5,3,1910,658,Y,658,526,1,8,0,0,2006,81000
388,72.0,7200.0,SLvl,6,6,1976,1041,Y,1125,0,1,6,1,352,2009,125000
389,93.0,9382.0,1Story,7,5,1999,1468,Y,1479,0,2,6,2,577,2008,191000
390,96.0,12474.0,2Story,10,5,2007,,Y,1742,590,2,9,3,846,2008,426000
391,50.0,8405.0,1.5Fin,5,8,1900,861,Y,961,406,1,7,1,384,2008,119000
392,71.0,12209.0,2Story,6,5,2001,804,Y,804,1157,2,7,2,560,2009,215000
393,,8339.0,1Story,5,7,1959,,Y,882,0,1,5,1,294,2007,106500
394,,7446.0,1Story,4,5,1941,788,Y,788,0,1,4,0,0,2006,100000
395,60.0,10134.0,1.5Fin,5,6,1940,735,Y,735,299,1,5,1,240,2007,109000
396,68.0,9571.0,1Story,5,6,1956,1144,Y,1144,0,1,6,1,596,2010,129000
397,60.0,7200.0,1Story,5,5,1972,894,Y,894,0,1,6,2,600,2009,123000
398,69.0,7590.0,2Story,5,5,1962,864,Y,876,936,2,8,1,264,2007,169500
399,60.0,,1Story,5,2,1920,961,Y,1077,0,1,6,1,338,2007,67000
400,65.0,8125.0,2Story,7,5,2006,1092,Y,1112,438,2,7,2,438,2009,241000
401,38.0,14963.0,1Story,8,5,1996,1260,Y,1288,0,1,4,2,500,2008,245500
402,65.0,8767.0,1Story,7,5,2005,1310,Y,1310,0,2,6,2,400,2006,164990
403,60.0,10200.0,1Story,5,8,1940,672,Y,672,0,1,4,1,240,2008,108000
404,93.0,,2Story,8,5,1998,,Y,1165,1098,2,10,2,420,2006,258000
405,,10364.0,2Story,6,5,1995,,Y,806,766,2,7,2,373,2007,168000
406,,9991.0,1Story,4,4,1976,1281,Y,1620,0,2,8,2,490,2009,150000
407,51.0,,1.5Fin,6,5,1936,1064,Y,1166,0,1,6,1,240,2008,115000
408,63.0,15576.0,2Story,6,7,1915,,Y,840,840,2,8,1,308,2008,177000
409,109.0,14154.0,2Story,7,5,2006,1063,Y,1071,1101,2,9,3,947,2007,280000
410,85.0,10800.0,2Story,8,5,2007,1034,Y,1050,1028,2,8,3,836,2008,339750
411,68.0,,1Story,5,3,1958,1276,Y,1276,0,1,5,1,350,2009,60000
412,100.0,34650.0,1Story,5,5,1955,1056,N,1056,0,1,5,2,572,2006,145000
413,,4403.0,1Story,7,5,2009,1470,Y,1478,0,2,7,2,484,2010,222000
414,56.0,8960.0,1Story,5,6,1927,1008,Y,1028,0,1,5,2,360,2010,115000
415,59.0,11228.0,2Story,7,5,1993,1080,Y,1080,1017,2,9,3,678,2008,228000
416,73.0,8899.0,1Story,7,5,2007,,Y,1340,0,2,6,2,396,2007,181134
417,74.0,7844.0,2Story,6,7,1978,,Y,672,728,1,6,2,440,2006,149500
418,86.0,22420.0,2Story,6,6,1918,1370,N,1370,1254,2,10,3,864,2007,239000
419,60.0,8160.0,1.5Fin,5,6,1940,756,N,756,378,1,7,1,240,2007,126000
420,65.0,8450.0,1Story,5,6,1968,1056,Y,1056,0,1,6,1,304,2010,142000
421,78.0,7060.0,SFoyer,7,5,1997,,Y,1344,0,2,8,4,784,2008,206300
422,,16635.0,1Story,6,7,1977,1602,Y,1602,0,2,8,2,529,2009,215000
423,100.0,21750.0,1Story,5,5,1954,,Y,988,0,1,4,2,520,2008,113000
424,80.0,9200.0,2Story,8,5,1998,,Y,1470,1160,2,8,3,696,2008,315000
425,72.0,9000.0,1Story,6,5,1956,,Y,1196,0,1,6,1,297,2008,139000
426,60.0,3378.0,2Story,7,8,1946,,Y,707,682,1,6,1,240,2009,135000
427,,12800.0,SLvl,7,5,1989,1518,Y,1644,0,2,5,2,569,2009,275000
428,77.0,8593.0,1Story,4,6,1957,,Y,907,0,1,5,1,352,2008,109008
429,64.0,,1Story,7,5,2007,,Y,1208,0,2,6,2,628,2007,195400
430,130.0,11457.0,1Story,6,5,1988,1392,Y,1412,0,2,6,2,576,2009,175000
431,21.0,1680.0,2Story,6,5,1971,483,Y,483,504,1,4,1,264,2008,85400
432,60.0,5586.0,1.5Fin,6,7,1920,901,Y,1088,110,1,7,0,0,2008,79900
433,24.0,1920.0,2Story,5,5,1971,765,Y,765,600,1,6,2,440,2007,122500
434,100.0,10839.0,2Story,6,5,1997,,Y,926,678,2,7,2,470,2008,181000
435,21.0,1890.0,SFoyer,4,7,1972,630,Y,630,0,1,3,0,0,2008,81000
436,43.0,10667.0,2Story,7,6,1996,,Y,827,834,2,6,2,550,2009,212000
437,40.0,4400.0,1.5Fin,6,8,1920,648,Y,734,384,1,6,2,440,2006,116000
438,50.0,6000.0,1.5Unf,6,7,1926,884,Y,904,0,1,4,1,180,2009,119000
439,40.0,4280.0,1Story,5,6,1913,440,N,694,0,1,4,1,352,2007,90350
440,67.0,12354.0,1.5Fin,6,8,1920,684,Y,684,512,1,7,2,528,2009,110000
441,105.0,15431.0,1Story,10,5,2008,,Y,2402,0,2,10,3,672,2009,555000
442,92.0,12108.0,1Story,4,4,1955,1440,N,1440,0,2,8,0,0,2008,118000
443,52.0,6240.0,1.5Fin,5,7,1930,1078,Y,1128,445,2,8,2,360,2008,162900
444,53.0,3922.0,1Story,7,5,2006,,Y,1258,0,2,6,3,648,2007,172500
445,70.0,8750.0,2Story,7,5,1994,915,Y,933,975,2,8,2,493,2008,210000
446,73.0,9855.0,1Story,6,5,1956,1436,Y,1689,0,1,7,2,480,2009,127500
447,137.0,16492.0,1Story,6,6,1966,1517,Y,1888,0,2,6,2,578,2010,190000
448,,11214.0,2Story,7,5,1998,930,Y,956,930,2,10,2,431,2006,199900
449,50.0,8600.0,1.5Fin,6,6,1937,780,Y,780,596,2,7,1,198,2006,119500
450,50.0,6000.0,1.5Fin,3,7,1948,649,Y,679,504,1,6,1,308,2007,120000
451,70.0,5684.0,1Story,6,8,1930,813,Y,813,0,1,5,1,270,2006,110000
452,62.0,,1Story,7,5,1975,,Y,1533,0,2,5,2,576,2006,280000
453,,9303.0,2Story,6,5,1996,,Y,888,868,2,7,2,422,2007,204000
454,75.0,9000.0,2Story,8,5,2008,768,Y,786,804,2,6,2,676,2009,210000
455,63.0,9297.0,1Story,5,5,1976,1728,Y,1728,0,2,8,2,560,2006,188000
456,80.0,9600.0,1Story,7,6,1973,1242,Y,1242,0,1,6,2,528,2007,175500
457,34.0,4571.0,2Story,5,5,1916,,N,624,720,1,7,3,513,2008,98000
458,,53227.0,1Story,4,6,1954,,Y,1663,0,1,6,2,529,2008,256000
459,,5100.0,2Story,8,7,1925,588,Y,833,833,1,7,1,228,2008,161000
460,,7015.0,1.5Fin,5,4,1950,,Y,979,224,1,5,1,352,2009,110000
461,75.0,,2Story,8,5,2009,832,Y,832,1103,2,8,2,552,2009,263435
462,60.0,7200.0,2Story,7,9,1936,560,Y,575,560,1,6,2,576,2009,155000
463,60.0,8281.0,1Story,5,5,1965,864,Y,864,0,1,5,1,360,2009,62383
464,74.0,11988.0,2Story,6,7,1934,715,Y,849,811,1,6,1,240,2008,188700
465,60.0,8430.0,1Story,5,5,1978,1040,Y,1040,0,2,5,0,0,2009,124000
466,,3072.0,1Story,7,5,2004,,Y,1414,0,2,6,2,398,2006,178740
467,85.0,10628.0,1Story,7,5,1970,1277,Y,1277,0,1,5,2,526,2007,167000
468,79.0,9480.0,2Story,5,7,1942,728,Y,888,756,1,7,1,312,2007,146500
469,98.0,11428.0,1Story,8,5,2006,,Y,1634,0,2,7,3,866,2007,250000
470,76.0,9291.0,2Story,6,5,1993,,Y,832,878,2,7,2,506,2008,187000
471,,6820.0,1Story,8,5,1985,1488,Y,1502,0,1,4,2,528,2010,212000
472,92.0,,2Story,7,6,1977,,Y,1161,808,2,8,2,534,2007,190000
473,35.0,,SLvl,6,5,2005,,Y,1072,0,1,5,2,525,2008,148000
474,110.0,14977.0,1Story,8,5,2006,,Y,1976,0,2,7,3,908,2007,440000
475,41.0,5330.0,1Story,8,5,2000,,Y,1652,0,2,6,2,499,2007,251000
476,80.0,8480.0,1Story,5,6,1963,,Y,970,0,1,5,2,624,2007,132500
477,75.0,13125.0,1Story,6,5,1997,1478,Y,1493,0,2,7,2,508,2008,208900
478,105.0,13693.0,2Story,9,5,2006,2153,Y,2069,574,2,9,3,694,2007,380000
479,79.0,10637.0,1Story,8,5,2007,1705,Y,1718,0,2,7,3,826,2009,297000
480,50.0,5925.0,1Story,4,7,1937,907,Y,1131,0,1,7,2,672,2007,89471
481,98.0,,1Story,9,5,2004,,Y,1850,0,2,8,3,772,2006,326000
482,72.0,11846.0,1Story,9,5,2003,,Y,1792,0,2,6,3,874,2006,374000
483,50.0,2500.0,2Story,7,8,1915,,Y,916,910,1,7,1,164,2009,155000
484,32.0,4500.0,1Story,6,5,1998,,Y,1216,0,2,5,2,402,2006,164000
485,,7758.0,1Story,5,7,1962,,Y,999,0,1,6,1,264,2007,132500
486,80.0,9600.0,1Story,5,7,1950,,Y,1113,0,1,5,1,264,2009,147000
487,79.0,10289.0,1Story,5,7,1965,,Y,1073,0,1,6,2,515,2007,156000
488,70.0,12243.0,1Story,5,6,1971,1484,Y,1484,0,2,7,2,487,2007,175000
489,60.0,10800.0,1.5Fin,5,4,1900,,N,1766,648,2,10,2,520,2006,160000
490,21.0,1526.0,SFoyer,4,8,1970,,Y,630,0,1,3,1,286,2009,86000
491,,2665.0,2Story,5,6,1976,264,Y,616,688,1,4,1,336,2008,115000
492,79.0,9490.0,1.5Fin,6,7,1941,,Y,958,620,1,5,1,240,2006,133000
493,105.0,15578.0,2Story,6,5,2006,,Y,728,728,2,8,2,429,2006,172785
494,70.0,7931.0,1Story,5,6,1960,1269,Y,1269,0,1,6,1,308,2008,155000
495,50.0,5784.0,1Story,5,8,1938,,Y,886,0,1,4,1,273,2009,91300
496,60.0,7879.0,1Story,4,5,1920,720,N,720,0,1,4,0,0,2009,34900
497,,12692.0,1Story,8,5,1992,3200,Y,3228,0,3,10,2,546,2007,430000
498,60.0,9120.0,1.5Fin,7,6,1925,1026,Y,1133,687,2,8,1,240,2008,184000
499,65.0,7800.0,1Story,5,7,1967,864,Y,899,0,1,5,1,288,2009,130000
500,70.0,,1Story,5,7,1958,,Y,912,0,1,5,1,297,2007,120000
501,21.0,,2Story,6,5,1973,,Y,672,546,1,7,1,264,2007,113000
502,75.0,9803.0,2Story,7,5,2005,866,Y,866,902,2,7,2,603,2008,226700
503,70.0,,1Story,5,7,1965,1214,Y,1214,0,1,6,2,461,2007,140000
504,100.0,15602.0,1Story,7,8,1959,1501,Y,1801,0,2,6,2,484,2010,289000
505,24.0,2308.0,2Story,6,5,1974,,Y,855,467,2,6,2,440,2009,147000
506,60.0,7596.0,2Story,5,5,1952,,Y,960,1000,2,10,2,400,2009,124500
507,80.0,9554.0,2Story,8,5,1993,,Y,1065,846,2,8,2,471,2006,215000
508,75.0,7862.0,1Story,6,5,2009,,Y,1218,0,2,4,2,676,2009,208300
509,60.0,9600.0,2Story,7,9,1928,,Y,689,689,2,7,2,360,2008,161000
510,80.0,9600.0,1Story,5,6,1959,,Y,1041,0,1,6,1,270,2009,124500
511,75.0,14559.0,1Story,5,7,1951,1008,Y,1363,0,1,6,1,288,2009,164900
512,40.0,6792.0,1Story,7,5,2005,,Y,1368,0,2,6,2,474,2006,202665
513,70.0,9100.0,1Story,5,5,1958,864,Y,864,0,1,5,2,624,2006,129900
514,71.0,9187.0,1Story,6,5,1983,1084,Y,1080,0,1,5,2,484,2007,134000
515,55.0,10594.0,1.5Unf,5,5,1926,768,N,789,0,1,5,1,200,2007,96500
516,94.0,12220.0,1Story,10,5,2009,,Y,2020,0,2,9,3,900,2009,402861
517,,10448.0,SLvl,6,6,1972,,Y,1378,741,2,7,2,583,2009,158000
518,79.0,10208.0,2Story,7,5,1996,1264,Y,1277,1067,2,7,3,889,2009,265000
519,,9531.0,2Story,6,5,1998,794,Y,882,914,2,7,2,546,2007,211000
520,53.0,10918.0,2Story,7,9,1926,,Y,1276,804,1,9,1,282,2009,234000
521,60.0,10800.0,2Story,4,7,1900,0,N,694,600,2,7,0,0,2008,106250
522,90.0,,1Story,6,6,1957,1244,Y,1244,0,1,6,1,336,2007,150000
523,50.0,5000.0,1.5Fin,6,7,1947,1004,Y,1004,660,2,7,2,420,2006,159000
524,130.0,40094.0,2Story,10,5,2007,,Y,3138,1538,3,11,3,884,2007,184750
525,95.0,11787.0,2Story,7,5,1996,,Y,1383,1015,2,8,3,834,2007,315750
526,62.0,7500.0,1Story,7,5,2005,1257,Y,1266,0,2,6,2,453,2006,176000
527,70.0,,1Story,5,7,1956,928,Y,928,0,1,4,1,252,2007,132000
528,67.0,14948.0,2Story,9,5,2008,1452,Y,1476,1237,2,11,3,858,2008,446261
529,58.0,9098.0,1Story,4,7,1920,,Y,605,0,1,5,0,0,2007,86000
530,,32668.0,1Story,6,3,1957,2035,Y,2515,0,3,9,2,484,2007,200624
531,85.0,,SLvl,6,5,1988,1461,Y,1509,0,2,5,2,600,2008,175000
532,60.0,6155.0,2Story,6,8,1920,,Y,751,611,2,6,2,502,2008,128000
533,60.0,7200.0,1Story,5,7,1955,,Y,827,0,1,5,1,392,2010,107500
534,50.0,5000.0,1Story,1,3,1946,,N,334,0,1,2,0,0,2007,39300
535,74.0,9056.0,2Story,8,5,2004,707,Y,707,707,2,6,2,403,2006,178000
536,70.0,7000.0,2Story,5,7,1910,1117,Y,820,527,1,5,0,0,2008,107500
537,57.0,8924.0,2Story,7,5,1998,,Y,880,844,2,8,2,527,2008,188000
538,,12735.0,1Story,4,5,1972,864,Y,864,0,1,5,2,576,2008,111250
539,,11553.0,1Story,5,5,1968,,Y,1159,0,1,7,1,336,2006,158000
540,,11423.0,1Story,8,5,2001,1581,Y,1601,0,2,6,2,670,2010,272000
541,85.0,14601.0,1Story,9,5,2006,,Y,1838,0,2,8,3,765,2009,315000
542,,11000.0,2Story,8,5,2000,,Y,997,1288,2,8,3,648,2007,248000
543,78.0,10140.0,1Story,7,5,1998,1650,Y,1680,0,2,7,2,583,2009,213250
544,34.0,4058.0,SFoyer,7,5,1998,723,Y,767,0,1,4,1,367,2007,133000
545,58.0,17104.0,2Story,7,5,2006,,Y,664,832,2,7,2,426,2006,179665
546,,13837.0,1.5Fin,7,5,1988,1204,Y,1377,806,2,9,3,786,2006,229000
547,70.0,,1.5Fin,6,7,1923,1065,Y,915,720,1,6,2,440,2007,210000
548,54.0,7244.0,SFoyer,5,7,1970,768,Y,768,0,1,5,2,624,2007,129500
549,49.0,8235.0,1Story,5,7,1955,825,Y,825,0,1,4,2,720,2008,125000
550,75.0,9375.0,2Story,7,5,2003,,Y,912,1182,2,8,2,615,2009,263000
551,53.0,4043.0,1Story,6,6,1977,1069,Y,1069,0,2,4,2,440,2008,140000
552,50.0,6000.0,1Story,5,6,1957,,Y,928,0,1,5,1,288,2008,112500
553,87.0,11146.0,1Story,8,5,2006,,Y,1717,0,2,7,3,908,2009,255500
554,67.0,8777.0,1Story,4,5,1949,,Y,1126,0,2,5,2,520,2009,108000
555,85.0,10625.0,2Story,7,5,2003,998,Y,1006,1040,2,8,3,871,2008,284000
556,58.0,6380.0,1.5Unf,5,6,1922,993,Y,1048,0,1,5,1,280,2006,113000
557,69.0,14850.0,1Story,5,5,1957,1092,Y,1092,0,1,6,1,299,2006,141000
558,60.0,11040.0,1.5Fin,4,6,1920,637,Y,897,439,1,7,1,570,2006,108000
559,57.0,21872.0,2Story,7,5,1996,729,Y,729,717,2,6,2,406,2008,175000
560,,3196.0,1Story,7,5,2003,1374,Y,1557,0,2,7,2,420,2006,234000
561,,11341.0,1Story,5,6,1957,1392,Y,1392,0,1,5,2,528,2010,121500
562,77.0,10010.0,1Story,5,5,1974,1389,Y,1389,0,1,6,2,418,2006,170000
563,63.0,13907.0,1Story,5,6,1940,996,Y,996,0,1,6,0,0,2008,108000
564,66.0,21780.0,1.5Fin,6,7,1918,1163,Y,1163,511,2,8,2,396,2008,185000
565,,,2Story,7,5,1992,1095,Y,1166,1129,2,9,2,590,2006,268000
566,66.0,6858.0,2Story,6,4,1915,806,N,841,806,1,6,1,216,2010,128000
567,77.0,11198.0,2Story,9,5,2005,,Y,1134,1370,2,11,3,656,2008,325000
568,70.0,10171.0,1Story,7,5,2004,1517,Y,1535,0,2,7,2,532,2010,214000
569,79.0,12327.0,1.5Fin,8,8,1983,,Y,1496,636,1,5,2,612,2009,316600
570,,7032.0,SFoyer,5,5,1979,943,Y,943,0,1,4,2,600,2006,135960
571,74.0,13101.0,1Story,5,5,1965,,Y,1728,0,2,10,2,576,2008,142600
572,60.0,7332.0,1Story,6,6,1959,864,Y,864,0,1,4,1,288,2006,120000
573,83.0,13159.0,2Story,7,5,2009,846,Y,846,846,2,6,2,650,2009,224500
574,76.0,9967.0,SLvl,7,5,2000,384,Y,774,656,2,8,2,400,2007,170000
575,70.0,,SLvl,5,7,1971,,Y,576,533,1,5,1,288,2007,139000
576,80.0,8480.0,1.5Fin,5,5,1947,832,Y,832,384,1,6,1,336,2008,118500
577,52.0,6292.0,1.5Fin,7,7,1928,,Y,877,600,2,6,1,216,2009,145000
578,96.0,11777.0,SLvl,5,6,1966,1164,Y,1320,0,1,6,2,564,2006,164500
579,34.0,,2Story,7,5,2007,689,Y,703,689,2,5,2,540,2008,146000
580,81.0,12150.0,1.5Fin,5,5,1954,,N,1050,745,2,7,1,352,2008,131500
581,,14585.0,1Story,6,6,1960,,Y,1429,0,1,7,2,572,2007,181900
582,98.0,12704.0,1Story,8,5,2008,2042,Y,2042,0,2,8,3,1390,2009,253293
583,81.0,11841.0,SFoyer,6,5,1990,,Y,816,0,1,5,0,0,2007,118500
584,75.0,13500.0,2.5Unf,10,9,1893,,Y,1521,1254,3,9,2,880,2008,325000
585,51.0,6120.0,1.5Fin,4,7,1935,884,Y,989,584,1,6,1,240,2009,133000
586,88.0,11443.0,1Story,8,5,2005,1868,Y,2028,0,2,7,3,880,2006,369900
587,55.0,10267.0,1Story,6,7,1918,816,Y,838,0,1,5,1,275,2008,130000
588,74.0,8740.0,SFoyer,5,6,1982,840,Y,860,0,1,4,2,528,2009,137000
589,65.0,25095.0,1Story,5,8,1968,,Y,1473,0,1,5,1,452,2009,143000
590,50.0,9100.0,1Story,5,6,1930,742,Y,779,0,1,4,1,308,2008,79500
591,64.0,8320.0,2Story,7,5,2004,,Y,770,812,2,6,2,520,2008,185900
592,97.0,,2Story,10,5,2008,,Y,1728,568,2,10,3,842,2009,451950
593,60.0,6600.0,1Story,5,8,1982,,Y,816,0,1,4,2,816,2008,138000
594,,4435.0,1Story,6,5,2003,848,Y,848,0,1,4,2,420,2009,140000
595,88.0,7990.0,1Story,5,6,1975,924,Y,924,0,1,5,1,280,2008,110000
596,69.0,,1Story,8,5,2005,,Y,1826,0,2,7,3,758,2006,319000
597,60.0,3600.0,2Story,6,7,1910,684,N,684,684,1,7,1,216,2006,114504
598,53.0,3922.0,1Story,7,5,2006,1258,Y,1402,0,0,7,3,648,2007,194201
599,80.0,12984.0,1Story,5,6,1977,1430,Y,1647,0,2,7,2,621,2006,217500
600,24.0,1950.0,2Story,6,6,1980,716,Y,716,840,2,6,2,452,2008,151000
601,74.0,10927.0,2Story,8,5,2005,,Y,1058,846,2,8,2,736,2006,275000
602,50.0,9000.0,1.5Fin,6,6,1937,,Y,780,595,1,6,1,544,2007,141000
603,80.0,10041.0,2Story,8,5,1992,,Y,927,988,2,8,2,506,2006,220000
604,30.0,3182.0,2Story,7,5,2004,,Y,600,600,2,4,2,480,2010,151000
605,88.0,12803.0,1Story,7,5,2002,,Y,1494,0,2,6,2,530,2008,221000
606,85.0,13600.0,2Story,7,6,1965,,Y,1186,800,2,7,2,486,2009,205000
607,82.0,12464.0,1Story,5,5,1996,1040,Y,1040,0,1,6,2,576,2009,152000
608,78.0,7800.0,2Story,5,8,1948,,Y,1112,896,3,8,1,230,2006,225000
609,78.0,12168.0,2Story,8,6,1934,,Y,1940,1254,2,10,2,380,2007,359100
610,61.0,7943.0,1Story,4,5,1961,1029,Y,1029,0,1,5,1,261,2007,118500
611,,11050.0,2Story,9,5,2000,,Y,1476,677,2,8,3,736,2009,313000
